Sl No,Emplid,Campus ID,QUIZ 1
947,41120250604,2025B4PS0604H,6
948,41120250605,2025B4PS0605H,16
949,41120250607,2025B4PS0607H,0
950,41120250609,2025B4PS0609H,4
951,41120250613,2025B4PS0613H,2
952,41120250617,2025B4PS0617H,4
953,41120250626,2025B4PS0626H,0
954,41120250627,2025B4PS0627H,6
955,41120250629,2025B4PS0629H,6
956,41120250631,2025B4PS0631H,2
957,41120250633,2025B4PS0633H,6
958,41120250634,2025B4PS0634H,6
959,41120250635,2025B4PS0635H,8
960,41120250636,2025B4PS0636H,4
961,41120250637,2025B4PS0637H,4
962,41120250638,2025B4PS0638H,12
963,41120250644,2025B4PS0644H,4
964,41120250648,2025B4PS0648H,2
965,41120250651,2025B4PS0651H,2
966,41120250652,2025B4PS0652H,4
967,41120250655,2025B4PS0655H,0
968,41120250656,2025B4PS0656H,2
969,41120250657,2025B4PS0657H,0
970,41120250676,2025B4PS0676H,4
